Name,Team,PlayerId,ProcedureSCTID,InjurySCTID,On Date,Off Date,Days,preFB,preERA,postFB,postERA,offseason,reinjury,,,
Fernando Salas,Cardinals,4971,183051005,443798008,5/22/2013,6/26/2013,35,90.2,2.89,90.3,7.94,No,Yes (moderate),,,
Ted Lilly,Dodgers,833,415260000,263122000,9/21/2012,4/24/2013,215,87.5,3.14,87.4,4.26,Yes,No,,,
Jaime Garcia,Cardinals,8137,415260000,202842005,5/18/2013,5/18/2014,365,88.5,3.77,90.4,4.12,Yes,Yes (severe),,,
Jonathan Pettibone,Phillies,7106,183051005,74779009,7/29/2013,3/30/2014,244,91.3,3.82,90.5,9.00,Yes,Yes (severe),,,
Chris Perez,Indians,5213,183051005,125594001,5/27/2013,6/27/2013,31,92.9,6.52,92.2,0.60,No,No,,,
Chris Capuano,Dodgers,1701,183051005,275334004,5/30/2013,6/19/2013,20,88.2,5.93,88.1,4.55,No,No,,,
Darren Oliver,Blue Jays,206,183051005,275334004,5/19/2013,6/10/2013,22,87.2,2.25,87.4,3.60,No,No,,,
Travis Blackley,Astros,3234,183051005,275334004,4/5/2013,4/20/2013,15,90.6,6.38,90.7,6.39,No,No,,,
Yu Darvish,Rangers,13074,183051005,275334004,7/7/2013,7/22/2013,15,93.1,3.55,93.6,1.73,No,No,,,
Tyson Ross,Padres,7872,183051005,269105005,4/18/2013,5/5/2013,17,92.5,3.86,93.3,2.21,No,Yes (minor),,,
Craig Breslow,Red Sox,4363,183051005,202852009,3/31/2013,5/6/2013,36,91.0,0.00,89.5,2.30,No,Yes (moderate),,,
Tom Gorzelanny,Brewers,6244,183051005,202852009,5/8/2013,5/24/2013,16,90.6,2.03,90.8,2.81,No,"Yes (severe, surgery required)",,,
Kyle Kendrick,Phillies,6230,183051005,202852009,9/14/2013,3/30/2014,197,89.2,5.97,89.4,3.58,Yes,No,,,
Josh Johnson,Blue Jays,4567,183051005,202857003,4/29/2013,6/4/2013,36,93.0,6.86,92.9,3.74,No,Yes (severe),,,
Kevin Jepsen,Angels,6475,183051005,428539005,4/12/2013,5/26/2013,44,96.5,9.82,95.5,3.46,No,No,,,
Sergio Santos,Blue Jays,4734,183051005,428539005,4/14/2013,8/1/2013,109,94.4,2.08,94.2,2.25,No,Yes (severe),,,
David Price,Rays,3184,183051005,428539005,5/16/2013,7/2/2013,47,92.9,4.97,94.0,1.57,No,No,,,
